idclientecrm,monto_total1,monto_total2,monto_total3,monto_total4,monto_total5,contratado Super Destacado1,contratado Super Destacado2,contratado Super Destacado3,contratado Super Destacado4,contratado Super Destacado5,contratado Destacado1,contratado Destacado2,contratado Destacado3,contratado Destacado4,contratado Destacado5,contratado Simple1,contratado Simple2,contratado Simple3,contratado Simple4,contratado Simple5,contratado Desarrollo Super Destacado1,contratado Desarrollo Super Destacado2,contratado Desarrollo Super Destacado3,contratado Desarrollo Super Destacado4,contratado Desarrollo Super Destacado5,contratado Desarrollo Destacado1,contratado Desarrollo Destacado2,contratado Desarrollo Destacado3,contratado Desarrollo Destacado4,contratado Desarrollo Destacado5,contratado Desarrollo Simple1,contratado Desarrollo Simple2,contratado Desarrollo Simple3,contratado Desarrollo Simple4,contratado Desarrollo Simple5,contratado freemium1,contratado freemium2,contratado freemium3,contratado freemium4,contratado freemium5,Lead Venta1,Lead Venta2,Lead Venta3,Lead Venta4,Lead Venta5,Lead Alquiler1,Lead Alquiler2,Lead Alquiler3,Lead Alquiler4,Lead Alquiler5,Lead Alquiler temporal1,Lead Alquiler temporal2,Lead Alquiler temporal3,Lead Alquiler temporal4,Lead Alquiler temporal5
10400002,766.0,766.0,766.0,766.0,766.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,80.0,58.0,53.0,87.0,389.0,408.0,407.0,253.0,425.0,0.0,0.0,0.0,0.0,0.0
10400005,362.0,362.0,362.0,362.0,361.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,115.0,115.0,115.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,11.0,13.0,24.0,140.0,162.0,75.0,101.0,200.0,0.0,0.0,0.0,0.0,0.0
10400007,260.0,260.0,260.0,260.0,260.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,60.0,60.0,60.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,9.0,26.0,40.0,115.0,211.0,105.0,20.0,201.0,0.0,0.0,0.0,0.0,0.0
10400010,1359.0,1359.0,1359.0,1349.0,1349.0,5.0,5.0,1.0,1.0,1.0,30.0,30.0,30.0,30.0,30.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,24.0,37.0,30.0,47.0,162.0,146.0,85.0,105.0,124.0,0.0,0.0,0.0,0.0,0.0
10400013,199.0,199.0,199.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10400014,1499.0,1499.0,1499.0,1499.0,1499.0,1.0,1.0,1.0,1.0,1.0,30.0,30.0,30.0,30.0,30.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,68.0,68.0,61.0,76.0,439.0,682.0,801.0,991.0,654.0,0.0,0.0,0.0,0.0,0.0
10400015,3958.0,3958.0,1359.0,1359.0,1359.0,55.0,5.0,5.0,5.0,5.0,30.0,30.0,30.0,30.0,30.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,238.0,130.0,163.0,136.0,185.0,244.0,172.0,197.0,136.0,0.0,0.0,0.0,0.0,0.0
10400022,565.0,565.0,565.0,565.0,565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,11.0,17.0,12.0,34.0,16.0,15.0,62.0,106.0,0.0,0.0,0.0,0.0,0.0
10400024,5149.0,5149.0,2899.0,2899.0,2899.0,25.0,25.0,25.0,25.0,25.0,20.0,20.0,20.0,20.0,20.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,110.0,122.0,135.0,131.0,974.0,710.0,619.0,791.0,840.0,0.0,0.0,0.0,0.0,0.0
10400025,530.0,530.0,530.0,530.0,530.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,21.0,15.0,14.0,10.0,3.0,31.0,23.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0
