idclientecrm,Status Cliente
10400002,Cancelado
10400005,Vigente
10400007,Vigente
10400010,Cancelado
10400013,Vigente
10400014,Vigente
10400015,Vigente
10400022,Vigente
10400024,Vigente
10400025,Vigente
10400028,Vigente
10400030,Vigente
10400034,Vigente
10400040,Vigente
10400041,Vigente
10400044,Vigente
10400048,Vigente
10400052,Cancelado
10400056,Vigente
10400057,Vigente
10400058,Vigente
10400067,Vigente
10400072,Vigente
10400080,Cancelado
10400083,Vigente
10400085,Vigente
10400086,Vigente
10400087,Vigente
10400088,Vigente
10400089,Vigente
10400090,Vigente
10400092,Vigente
10400094,Vigente
10400097,Vigente
10400099,Vigente
10400102,Vigente
10400103,Cancelado
10400104,Vigente
10400107,Vigente
10400109,Vigente
10400121,Vigente
10400123,Vigente
10400127,Vigente
10400130,Vigente
10400132,Vigente
10400137,Vigente
10400138,Vigente
10400139,Vigente
10400142,Cancelado
10400146,Vigente
10400147,Cancelado
10400149,Vigente
10400153,Vigente
10400156,Vigente
10400161,Cancelado
10400165,Cancelado
10400167,Vigente
10400169,Vigente
10400172,Vigente
10400174,Vigente
10400175,Vigente
10400183,Vigente
10400185,Vigente
10400189,Cancelado
10400193,Vigente
10400195,Vigente
10400200,Vigente
10400202,Cancelado
10400204,Vigente
10400205,Vigente
10400206,Vigente
10400207,Vigente
10400215,Vigente
10400216,Vigente
10400221,Vigente
10400233,Cancelado
10400236,Vigente
10400237,Vigente
10400241,Vigente
10400243,Vigente
10400251,Vigente
10400254,Vigente
10400255,Vigente
10400257,Cancelado
10400260,Vigente
10400262,Vigente
10400263,Vigente
10400264,Cancelado
10400265,Vigente
10400268,Vigente
10400269,Vigente
10400271,Vigente
10400273,Vigente
10400275,Vigente
10400280,Vigente
10400284,Vigente
10400287,Cancelado
10400291,Vigente
10400292,Vigente
10400295,Vigente
10400301,Cancelado
10400302,Vigente
10400303,Vigente
10400304,Cancelado
10400307,Cancelado
10400309,Vigente
10400311,Vigente
10400314,Vigente
10400317,Cancelado
10400324,Vigente
10400328,Vigente
10400330,Cancelado
10400331,Vigente
10400333,Vigente
10400335,Vigente
10400338,Vigente
10400346,Vigente
10400347,Vigente
10400354,Vigente
10400357,Vigente
10400363,Vigente
10400364,Vigente
10400365,Vigente
10400370,Cancelado
10400377,Vigente
10400378,Vigente
10400379,Vigente
10400384,Cancelado
10400388,Vigente
10400389,Vigente
10400397,Vigente
10400401,Vigente
10400402,Vigente
10400403,Vigente
10400409,Vigente
10400410,Vigente
10400412,Vigente
10400413,Vigente
10400414,Vigente
10400416,Vigente
10400419,Vigente
10400430,Vigente
10400445,Vigente
10400446,Vigente
10400464,Cancelado
10401577,Vigente
10401580,Vigente
10401581,Cancelado
10403523,Vigente
10406750,Cancelado
10407032,Vigente
10407258,Vigente
10407339,Vigente
10407412,Vigente
10407422,Vigente
10407613,Cancelado
10407618,Vigente
10407671,Vigente
10407853,Vigente
10407862,Vigente
10407867,Vigente
10407878,Vigente
10407894,Vigente
10407996,Vigente
10408115,Vigente
10408127,Vigente
10408137,Cancelado
10408167,Vigente
10408495,Vigente
10408553,Vigente
10408988,Vigente
10409020,Vigente
10409106,Vigente
10410122,Vigente
10410123,Vigente
10410124,Cancelado
10410127,Vigente
10410131,Cancelado
10410135,Vigente
10410138,Vigente
10410143,Vigente
10410145,Vigente
10410146,Vigente
10410154,Cancelado
10410163,Vigente
10410164,Vigente
10410171,Cancelado
10410172,Vigente
10410178,Vigente
10410189,Vigente
10410197,Vigente
10410204,Vigente
10410206,Cancelado
10410216,Vigente
10410218,Cancelado
10410220,Cancelado
10410232,Vigente
10410236,Vigente
10410244,Vigente
10410245,Vigente
10410249,Vigente
10410252,Vigente
10410631,Cancelado
10410637,Vigente
10410638,Vigente
10410644,Cancelado
10410645,Vigente
10410651,Vigente
10410654,Cancelado
10410656,Vigente
10410668,Vigente
10410669,Vigente
10410671,Vigente
10410676,Vigente
10410679,Vigente
10410685,Cancelado
10410692,Cancelado
10410696,Vigente
10410711,Vigente
10410712,Vigente
10410715,Cancelado
10410722,Cancelado
10410724,Vigente
10410727,Vigente
10410735,Vigente
10410744,Vigente
10410745,Vigente
10410746,Vigente
10410749,Cancelado
10410759,Cancelado
10410838,Vigente
10411039,Cancelado
10411040,Cancelado
10411069,Vigente
10411073,Cancelado
10411087,Cancelado
10411101,Cancelado
10411113,Vigente
10411157,Vigente
10411167,Vigente
10411184,Cancelado
10411187,Vigente
10411190,Vigente
10411192,Cancelado
10411202,Cancelado
10411206,Vigente
10411213,Vigente
10411227,Vigente
10411236,Cancelado
10411240,Vigente
10411249,Vigente
10411256,Vigente
10411265,Vigente
10411271,Cancelado
10411275,Vigente
10411279,Vigente
10411280,Vigente
10411283,Cancelado
10411285,Vigente
10411290,Cancelado
10411291,Cancelado
10411302,Vigente
10411312,Vigente
10411402,Vigente
10411475,Vigente
10411480,Cancelado
10411481,Cancelado
10411486,Vigente
10411490,Cancelado
10411498,Cancelado
10411642,Vigente
10411655,Vigente
10411671,Vigente
10411679,Vigente
10411736,Cancelado
10411778,Cancelado
10411785,Vigente
10411793,Cancelado
10411814,Vigente
10411835,Cancelado
10411840,Cancelado
10411877,Vigente
10411923,Cancelado
10411925,Vigente
10411936,Cancelado
10411939,Vigente
10411940,Vigente
10411946,Vigente
10411947,Vigente
10411952,Vigente
10411961,Cancelado
10411962,Vigente
10411968,Cancelado
10411974,Vigente
10411979,Vigente
10411989,Vigente
10411994,Vigente
10412004,Vigente
10412010,Cancelado
10412017,Vigente
10412021,Vigente
10412027,Vigente
10412028,Vigente
10412029,Vigente
10412030,Vigente
10412035,Vigente
10412040,Cancelado
10412054,Vigente
10412065,Vigente
10412067,Cancelado
10412071,Cancelado
10412074,Vigente
10412075,Vigente
10412077,Vigente
10412084,Vigente
10412085,Vigente
10412111,Cancelado
10412127,Vigente
10412135,Vigente
10412144,Vigente
10412145,Vigente
10412151,Cancelado
10412155,Cancelado
10412161,Vigente
10412163,Vigente
10412180,Vigente
10412188,Vigente
10412193,Cancelado
10412197,Vigente
10412202,Vigente
10412204,Vigente
10412205,Cancelado
10412208,Vigente
10412216,Vigente
10412220,Cancelado
10412221,Vigente
10412230,Cancelado
10412244,Cancelado
10412257,Cancelado
10412268,Vigente
10412269,Vigente
10412281,Cancelado
10412286,Vigente
10412292,Cancelado
10412293,Vigente
10412295,Vigente
10412299,Cancelado
10412312,Cancelado
10412322,Cancelado
10412328,Vigente
10412330,Vigente
10412333,Vigente
10412337,Vigente
10412341,Vigente
10412347,Vigente
10412348,Vigente
10412349,Vigente
10412355,Vigente
10412371,Vigente
10412375,Cancelado
10412377,Cancelado
10412378,Cancelado
10412385,Cancelado
10412399,Cancelado
10412404,Vigente
10412426,Vigente
10412428,Cancelado
10412432,Vigente
10412445,Vigente
10412446,Vigente
10412447,Cancelado
10412454,Vigente
10412455,Cancelado
10412461,Cancelado
10412465,Vigente
10412474,Vigente
10412482,Vigente
10412484,Vigente
10412485,Vigente
10412492,Vigente
10412553,Cancelado
10412555,Cancelado
10412570,Cancelado
10412580,Cancelado
10412590,Cancelado
10412593,Cancelado
10412604,Vigente
10412610,Vigente
10412621,Cancelado
10412626,Cancelado
10412628,Cancelado
10412642,Vigente
10412648,Vigente
10412653,Vigente
10412669,Cancelado
10412670,Vigente
10412674,Cancelado
10412675,Cancelado
10412678,Cancelado
10412682,Vigente
10412686,Cancelado
10412697,Vigente
10412699,Vigente
10412704,Cancelado
10412719,Vigente
10412754,Cancelado
10412761,Vigente
10412765,Cancelado
10412769,Vigente
10412770,Vigente
10412778,Cancelado
10412791,Vigente
10412797,Cancelado
10412799,Vigente
10412804,Vigente
10412812,Cancelado
10412814,Vigente
10412831,Vigente
10412834,Cancelado
10412839,Vigente
10412843,Vigente
10412849,Vigente
10412853,Vigente
10412854,Vigente
10412858,Vigente
10412862,Vigente
10412880,Vigente
10412885,Vigente
10412886,Vigente
10412898,Cancelado
10412899,Vigente
10412901,Vigente
10412906,Vigente
10412911,Vigente
10412913,Vigente
10412918,Cancelado
10412924,Cancelado
10412933,Cancelado
10412941,Vigente
10412947,Vigente
10412949,Cancelado
10412952,Cancelado
10412955,Vigente
10412959,Vigente
10412966,Vigente
10412969,Vigente
10412971,Vigente
10412973,Vigente
10412977,Cancelado
10412990,Vigente
10412991,Vigente
10413004,Vigente
10413006,Vigente
10413012,Vigente
10413038,Vigente
10413040,Vigente
10413045,Vigente
10413056,Vigente
10413058,Vigente
10413063,Cancelado
10413066,Vigente
10413069,Cancelado
10413070,Vigente
10413071,Vigente
10413074,Vigente
10413079,Vigente
10413094,Vigente
10413095,Vigente
10413102,Cancelado
